filename,label,label_name,sets,,,
bagpipe.wav,0,music,train,,,
ballad.wav,0,music,train,,,
bartok.wav,0,music,train,,,
beat.wav,0,music,train,,,
beatles.wav,0,music,train,,,
bigband.wav,0,music,train,,,
birdland.wav,0,music,train,,,
blues.wav,0,music,train,,,
bmarsalis.wav,0,music,train,,,
brahms.wav,0,music,train,,,
canonaki.wav,0,music,train,,,
caravan.wav,0,music,train,,,
chaka.wav,0,music,train,,,
classical.wav,0,music,train,,,
classical1.wav,0,music,train,,,
classical2.wav,0,music,train,,,
copland.wav,0,music,train,,,
copland2.wav,0,music,train,,,
corea.wav,0,music,train,,,
corea1.wav,0,music,train,,,
cure.wav,0,music,train,,,
debussy.wav,0,music,train,,,
deedee.wav,0,music,train,,,
deedee1.wav,0,music,train,,,
duke.wav,0,music,train,,,
echoes.wav,0,music,train,,,
eguitar.wav,0,music,train,,,
georose.wav,0,music,train,,,
gismonti.wav,0,music,train,,,
glass.wav,0,music,train,,,
glass1.wav,0,music,train,,,
gravity.wav,0,music,train,,,
gravity2.wav,0,music,train,,,
guitar.wav,0,music,train,,,
hendrix.wav,0,music,train,,,
ipanema.wav,0,music,train,,,
jazz.wav,0,music,train,,,
jazz1.wav,0,music,train,,,
led.wav,0,music,train,,,
loreena.wav,0,music,train,,,
madradeus.wav,0,music,train,,,
magkas.wav,0,music,train,,,
march.wav,0,music,train,,,
marlene.wav,0,music,train,,,
mingus.wav,0,music,train,,,
mingus1.wav,0,music,test,,,
misirlou.wav,0,music,test,,,
moanin.wav,0,music,test,,,
narch.wav,0,music,test,,,
ncherry.wav,0,music,test,,,
nearhou.wav,0,music,test,,,
opera.wav,0,music,test,,,
opera1.wav,0,music,test,,,
pop.wav,0,music,test,,,
prodigy.wav,0,music,test,,,
redhot.wav,0,music,test,,,
rock.wav,0,music,test,,,
rock2.wav,0,music,test,,,
russo.wav,0,music,test,,,
tony.wav,0,music,test,,,
u2.wav,0,music,test,,,
unpoco.wav,0,music,test,,,
vlobos.wav,0,music,test,,,
winds.wav,0,music,test,,,
acomic.wav,1,speech,train,,,
acomic2.wav,1,speech,train,,,
allison.wav,1,speech,train,,,
amal.wav,1,speech,train,,,
austria.wav,1,speech,train,,,
bathroom1.wav,1,speech,train,,,
chant.wav,1,speech,train,,,
charles.wav,1,speech,train,,,
china.wav,1,speech,train,,,
comedy.wav,1,speech,train,,,
comedy1.wav,1,speech,train,,,
conversion.wav,1,speech,train,,,
danie.wav,1,speech,train,,,
danie1.wav,1,speech,train,,,
dialogue.wav,1,speech,train,,,
dialogue1.wav,1,speech,train,,,
dialogue2.wav,1,speech,train,,,
diamond.wav,1,speech,train,,,
ellhnika.wav,1,speech,train,,,
emil.wav,1,speech,train,,,
female.wav,1,speech,train,,,
fem_rock.wav,1,speech,train,,,
fire.wav,1,speech,train,,,
geography.wav,1,speech,train,,,
geography1.wav,1,speech,train,,,
georg.wav,1,speech,train,,,
god.wav,1,speech,train,,,
greek.wav,1,speech,train,,,
greek1.wav,1,speech,train,,,
india.wav,1,speech,train,,,
jony.wav,1,speech,train,,,
jvoice.wav,1,speech,train,,,
kedar.wav,1,speech,train,,,
kid.wav,1,speech,train,,,
lena.wav,1,speech,train,,,
male.wav,1,speech,train,,,
my_voice.wav,1,speech,train,,,
nether.wav,1,speech,train,,,
news1.wav,1,speech,train,,,
news2.wav,1,speech,train,,,
nj105.wav,1,speech,train,,,
nj105a.wav,1,speech,train,,,
oneday.wav,1,speech,train,,,
psychic.wav,1,speech,train,,,
pulp.wav,1,speech,train,,,
pulp1.wav,1,speech,test,,,
pulp2.wav,1,speech,test,,,
relation.wav,1,speech,test,,,
serbian.wav,1,speech,test,,,
shannon.wav,1,speech,test,,,
sleep.wav,1,speech,test,,,
smoke1.wav,1,speech,test,,,
smoking.wav,1,speech,test,,,
stupid.wav,1,speech,test,,,
teachers.wav,1,speech,test,,,
teachers1.wav,1,speech,test,,,
teachers2.wav,1,speech,test,,,
thlui.wav,1,speech,test,,,
undergrad.wav,1,speech,test,,,
vegetables.wav,1,speech,test,,,
vegetables1.wav,1,speech,test,,,
vegetables2.wav,1,speech,test,,,
voice.wav,1,speech,test,,,
voices.wav,1,speech,test,,,
